name,osm_id,mid_lat,mid_lng,node_count,data_source,highway_type,surface,lanes,maxspeed,oneway,bridge,tunnel,lit,sidewalk,cycleway,width,access,ref
Hamerschlag Drive,27550366,40.44298866737935,-79.946587794519,40.0,"osm,roads_api",service,concrete,,,,,building_passage,,,,4.5,destination,
hamerschlag_outside,1353029030,40.44199475,-79.94713645,2.0,osm,footway,concrete,,,,,,,,,,,
Henry Street,11720583,40.446337287,-79.94928056866667,23.0,osm,residential,asphalt,,,,,building_passage,yes,both,,,,
Hollow Run Trail,333009371,40.43650835875,-79.94655653333334,54.0,osm,track,gravel,,,,,,,,,,,
Holyrood Road,11685963,40.44560241428571,-79.93837537142858,7.0,osm,residential,asphalt,2.0,,,,,,,,,permissive,
Hunt Library,,40.44111710000001,-79.9437361,0.0,places_api,,,,,,,,,,,,,
Isis Way,11695992,40.4402167,-79.95120743333332,3.0,osm,service,,,,,,,,,,,,
Jared L. Cohon University Center,,40.4440968,-79.94208929999999,0.0,places_api,,,,,,,,,,,,,
Joncaire Street,11711373,40.44044445,-79.95190569,10.0,osm,residential,unhewn_cobblestone,,25 mph,,,,,separate,,,,
Joncaire Street steps,36171420,40.440802233333336,-79.95064053333333,3.0,osm,steps,concrete,,,,,,yes,,,,,
Lower Panther Hollow Trail,36171885,40.437545906994046,-79.94603393258929,45.0,osm,cycleway,unpaved,,,,yes,,,,,,,
Machine Learning Department at Carnegie Mellon University,,40.4435743,-79.94461369999999,0.0,places_api,,,,,,,,,,,,,
Malvern Avenue,11742522,40.44189654,-79.93496328,5.0,osm,residential,asphalt,2.0,,,,,,,,,,
Margaret Morrison Carnegie Hall,,40.44185299999999,-79.94153179999999,0.0,places_api,,,,,,,,,,,,,
Margaret Morrison Street,11851716,40.44188295138539,-79.94099651639664,22.0,"osm,roads_api",residential,asphalt,,,,,,,separate,,,,
Morewood Ave at Forbes Ave FS,,40.44511299999999,-79.9427,0.0,places_api,,,,,,,,,,,,,
Morewood Avenue,11837579,40.447454267335566,-79.9425842757711,39.0,osm,secondary,concrete,2.0,,,,,yes,separate,shared_lane,,,
Morewood Gardens,,40.4450621,-79.9432088,0.0,places_api,,,,,,,,,,,,,
Morewood Place,11672244,40.44530175,-79.94169784285714,14.0,osm,residential,asphalt,,,yes,,,,no,,,,
Normlee Place,11810524,40.442021833333335,-79.93658403333335,3.0,osm,residential,,,,,,,,both,,,,
North Bellefield Avenue,11820239,40.44745068,-79.95232395000001,10.0,osm,tertiary,asphalt,2.0,,,,,yes,separate,,,,
North Craig Street,11960711,40.44829920858586,-79.94981271666666,20.0,osm,secondary,asphalt,2.0,,,,,,separate,,,,
North Dithridge Street,11697077,40.448060276470585,-79.9512973,17.0,osm,residential,asphalt,1.0,,yes,,,yes,separate,,,,
North Neville Street,11955884,40.44849718638889,-79.94790426055556,29.0,osm,tertiary,asphalt,2.0,,,,,yes,both,,,,
Northumberland Street,313329257,40.439988231674114,-79.9383860370297,11.0,"osm,roads_api",residential,,,,,,,,left,,,,
Olympia Place,11740320,40.445668883333326,-79.93489718333333,6.0,osm,residential,asphalt,,,,,,,,,,yes,
Omicron Delta Kappa Walk,30678691,40.44516826666666,-79.95257993333333,3.0,osm,footway,concrete,,,,,,yes,,,,,
Panther Hollow Road,24931882,40.43832874444445,-79.94679395555555,9.0,osm,secondary,asphalt,,,,,,,separate,,,,
Parish Lane,11691398,40.44605532,-79.93910306000001,5.0,osm,residential,asphalt,2.0,,,,,,,,,permissive,
Pembroke Place,11731298,40.45014146666667,-79.93841181666666,6.0,osm,residential,,,,,,,,,,,,
Penton Road,11740080,40.44488224166666,-79.93797423541668,14.0,osm,residential,asphalt,,,,,,,,,,yes,
"Pittsburgh, PA (Carnegie Mellon area- Bus stop at the intersection of Forbes Ave and Morewood, opposite to Carnegie Mellon University Alumni House)",,40.4444414,-79.9424962,0.0,places_api,,,,,,,,,,,,,
Plainfield Street,11823485,40.44134900555556,-79.93312735555556,18.0,osm,residential,,,,,,,,,,,,
PNC Bank Drive-Through Window,272888430,40.4467743,-79.94850826666666,3.0,osm,service,,,,yes,,,,,,,,
Porter Hall,,40.4415995,-79.9462885,0.0,places_api,,,,,,,,,,,,,
Randy Pausch Memorial Bridge,158105937,40.443221300000005,-79.9441764,2.0,osm,footway,concrete,,,,yes,,,,,,,
Roberto & Vera Clemente Drive,11713940,40.44124605333333,-79.95345963999999,15.0,osm,tertiary,asphalt,2.0,,no,,,yes,separate,,,,
Robin Road,11951808,40.443730833333326,-79.93540976666667,3.0,osm,residential,,,,,,,,,,,,
Robin Way,11685539,40.4440189,-79.93562899999999,3.0,osm,residential,asphalt,,,,,,,,,,private,
Roselawn Terrace,11961801,40.442152075,-79.93829035,4.0,osm,residential,asphalt,,,,,,,,,,,
Scaife Hall,,40.441718,-79.94727689999999,0.0,places_api,,,,,,,,,,,,,
Schenley Dr,,,,0.0,directions_api,,,,,,,,,,,,,
Schenley Drive,11734052,40.44015968701519,-79.9472116336113,146.0,"osm,roads_api",secondary,asphalt,2.0,25 mph,yes,yes,,yes,separate,lane,,,
Schenley Drive Extension,11683958,40.443086208333334,-79.95195604999999,10.0,osm,tertiary,asphalt,2.0,,,,,yes,separate,,,,
Schenley Road,11672170,40.44000528534188,-79.93670697538461,33.0,osm,service,,,,yes,,,,,,,private,
Skibo Drive,313329256,40.44137458888888,-79.93968922222223,9.0,osm,residential,,,,,,,,,,,,
South Bellefield Avenue,11834237,40.445236528571435,-79.95133985714286,7.0,osm,trunk,asphalt,3.0,,yes,,,,separate,,,,
South Craig Street,11826990,40.44504240055556,-79.94873551777778,20.0,osm,primary,asphalt,2.0,,,,,,right,,,,
South Dithridge Street,11750475,40.44563305925926,-79.95043108148148,17.0,osm,residential,asphalt,3.0,,,,,yes,,,,,
South Neville Street,11755338,40.4441207408254,-79.9476232388492,31.0,osm,residential,asphalt,,25 mph,,,,,right,,,,
Spring Way,265898480,40.445638975,-79.9476925,4.0,osm,service,,,,,,,,,,,,
Squirrel Hill Avenue,11722673,40.44119437142857,-79.93318952857143,14.0,osm,residential,asphalt,2.0,,,,,,,,,,
Staley Family Plaza,1010489498,40.44634914117647,-79.94649267647058,17.0,osm,pedestrian,,,,,,,,,,,,
Steve Faloon Lower Loop,772264491,40.43594271,-79.94172874,10.0,osm,path,,,,,,,,,,,,
Steve Faloon Switchback,772264490,40.43732796875,-79.94527075625,16.0,osm,path,,,,,,,,,,,,
Steve Faloon Trail,27592688,40.43619010078125,-79.94091884296876,128.0,osm,track,gravel,,,,,,,,,,,
Tech Street,11698857,40.44063259,-79.94205682666666,8.0,osm,residential,asphalt,,,,,,,separate,,,,
Techview Terrace,11736605,40.44327451111111,-79.9376034888889,9.0,osm,residential,asphalt,2.0,,,,,,no,,,,
Unger Lane,11685703,40.4453447,-79.93667781250001,8.0,osm,residential,,,,,,,,,,,,
Upper Panther Hollow Trail,27592410,40.43489467101449,-79.94161243333333,69.0,osm,track,gravel,,,,,,,,,,,
Utica Way,265898482,40.445948433333335,-79.9498435,3.0,osm,service,,,,,,,,,,,,
Varsity Walk,30678689,40.44473146666667,-79.9520423,3.0,osm,footway,concrete,,,,,,yes,,,,,
Wally Way,11804569,40.45060418888889,-79.94569878888889,9.0,osm,service,,,,,,,,,,,private,
Warwick Terrace,11669596,40.44694020833333,-79.93903389166667,17.0,osm,residential,asphalt,,,,,,,left,,,permissive,
West Circuit Road,11834303,40.43861984315476,-79.94336650997025,44.0,osm,unclassified,,,,,,,no,right,,,,
Westinghouse Trail,27610964,40.43893027423077,-79.94237421942309,31.0,osm,footway,,,,,,,,,,,,
Westminster Place,11822295,40.44911405714286,-79.93772317142857,7.0,osm,residential,,,,,,,,,,,,
Wilkins Avenue,11687001,40.446866754545454,-79.93440146363636,11.0,osm,secondary,asphalt,,25 mph,,,,,,,,,
Wilkins Heights Road,1462978998,40.446959769230766,-79.93586532307692,13.0,osm,residential,asphalt,1.0,,,,,,,,,yes,
Winthrop Street,121054524,40.445834813194445,-79.94878788680555,17.0,osm,residential,asphalt,,,yes,,,,separate,,,,
Yarrow Way,54500061,40.4398919725,-79.9515057025,14.0,osm,service,,,,,,,,,,,,
Zebina Way,39453465,40.445488268571424,-79.94815825714286,12.0,osm,service,asphalt,,,,,,,,,,,
,11841038,40.446501999999995,-79.9358177,2,osm,service,,,,,,,,,,,,
,27551717,40.440501037837834,-79.94554692162161,37,osm,footway,asphalt,,,,,,no,,,,,
,27551718,40.439120428,-79.94598462,25,osm,footway,paved,,,,,,,,,,,
,27551744,40.44030714666667,-79.94329574,15,osm,footway,asphalt,,,,,,,,,,,
,27551751,40.4395786,-79.9432125,2,osm,footway,concrete,,,,,,,,,,,
,27551752,40.44034546666666,-79.9424184,3,osm,footway,concrete,,,,,,,,,,,
